,Unnamed: 0,left_ht,left_age,left_ace,left_df,left_svpt,left_1stIn,left_1stWon,left_2ndWon,left_SvGms,left_bpSaved,left_bpFaced,left_rank,left_rank_points,right_ht,right_age,right_ace,right_df,right_svpt,right_1stIn,right_1stWon,right_2ndWon,right_SvGms,right_bpSaved,right_bpFaced,right_rank,right_rank_points,left_name,right_name,target,tourney_date,tourney_name
88615,525.0,188.0,24.149973382006348,3.5806451612903225,2.870967741935484,74.93548387096774,48.53225806451613,32.24193548387097,12.96774193548387,11.451612903225806,4.17741935483871,7.338709677419355,115.22222222222223,377.3809523809524,183.0,27.88509392349555,6.871720116618076,3.39067055393586,76.68804664723032,42.481049562682216,31.65014577259475,17.1399416909621,12.005830903790088,3.7551020408163267,6.256559766763848,51.080555555555556,784.2027777777778,Thierry Ascione,Agustin Calleri,0,2008-05-18,Casablanca
24064,38.0,193.0,24.727070499658293,12.276960784313726,2.7549019607843137,81.32352941176471,47.365196078431374,36.818627450980394,17.801470588235293,12.904411764705882,3.4313725490196076,5.2254901960784315,35.154017857142854,1324.580357142857,178.0,23.296932685044844,3.2195121951219514,2.3495934959349594,73.25474254742548,48.68834688346883,32.856368563685635,12.62330623306233,11.5420054200542,4.05420054200542,6.802168021680217,37.56217616580311,1414.082901554404,Ivan Ljubicic,Nikolay Davydenko,1,2007-02-19,Rotterdam
68028,959.0,188.0,21.53867214238571,6.0,6.333333333333333,67.5,33.333333333333336,28.0,18.333333333333332,10.833333333333334,2.8333333333333335,4.333333333333333,155.42857142857142,261.57142857142856,190.0,23.852412730995837,9.566265060240964,2.3734939759036147,82.57831325301204,44.40963855421687,34.795180722891565,20.49397590361446,13.012048192771084,3.674698795180723,5.518072289156627,4.083333333333333,2864.75,Alexandre Simoni,Gustavo Kuerten,0,2001-02-26,Acapulco
61422,359.0,,19.304822261285615,7.884892086330935,5.0215827338129495,83.14388489208633,48.39568345323741,36.34532374100719,18.35251798561151,13.251798561151078,4.0359712230215825,6.258992805755396,54.9136690647482,1190.8345323741007,,19.66686797922941,8.764705882352942,4.294117647058823,88.94117647058823,53.529411764705884,39.529411764705884,17.735294117647058,13.441176470588236,5.0,7.647058823529412,147.44117647058823,458.1470588235294,Denis Shapovalov,Alexei Popyrin,1,2019-10-14,Stockholm
22024,0.0,183.0,21.153254564017395,3.6853146853146854,2.6923076923076925,79.44055944055944,47.18531468531469,32.26573426573427,16.38111888111888,12.188811188811188,4.4125874125874125,7.4475524475524475,50.68852459016394,832.2360655737705,180.0,23.4746208437,2.3157894736842106,1.9473684210526316,77.15789473684211,44.8421052631579,28.42105263157895,16.736842105263158,11.526315789473685,4.842105263157895,8.421052631578947,151.0,284.63157894736844,Mikhail Youzhny,Igor Kunitsyn,1,2006-06-26,Wimbledon
22227,203.0,180.0,24.124298425745717,2.3142857142857145,2.1142857142857143,73.68571428571428,42.17142857142857,27.4,16.228571428571428,11.0,4.9714285714285715,8.2,131.34285714285716,336.7142857142857,188.0,25.104100553795607,7.188571428571429,3.8257142857142856,76.38857142857142,43.434285714285714,32.70857142857143,17.251428571428573,12.305714285714286,3.454285714285714,5.634285714285714,42.690104166666664,1393.4296875,Igor Kunitsyn,Tommy Haas,1,2006-10-23,St. Petersburg
37765,726.0,183.0,22.339667023361972,3.5,1.6428571428571428,71.94642857142857,42.017857142857146,27.982142857142858,15.339285714285714,11.142857142857142,4.285714285714286,7.267857142857143,106.92957746478874,574.5352112676056,175.0,26.213934080976692,3.5390243902439025,3.0829268292682928,74.60243902439025,44.99512195121951,31.302439024390242,14.639024390243902,11.595121951219513,4.046341463414634,6.934146341463415,60.87019230769231,829.3725961538462,Mikhail Kukushkin,Albert Montanes,1,2011-08-29,US Open
17563,544.0,190.0,20.894674880225992,4.297872340425532,2.6382978723404253,75.53191489361703,45.659574468085104,31.574468085106382,15.042553191489361,11.74468085106383,3.595744680851064,6.425531914893617,64.08,704.82,185.0,22.27747859439433,3.30188679245283,3.018867924528302,72.0754716981132,45.132075471698116,29.39622641509434,12.39622641509434,11.283018867924529,4.150943396226415,7.716981132075472,119.26415094339623,400.92452830188677,Florian Mayer,Julien Benneteau,1,2005-04-11,Monte Carlo Masters
65801,734.0,173.0,22.965401514645162,5.192982456140351,3.263157894736842,83.85964912280701,49.1140350877193,33.92982456140351,17.640350877192983,12.842105263157896,4.692982456140351,7.7894736842105265,29.201612903225808,1314.467741935484,188.0,24.201770626462306,5.946428571428571,3.2232142857142856,76.29464285714286,43.732142857142854,31.857142857142858,15.785714285714286,11.794642857142858,4.116071428571429,6.705357142857143,18.704918032786885,1438.2459016393443,Arnaud Clement,Nicolas Lapentti,0,2001-10-15,Stuttgart Masters
15344,327.0,180.0,28.899738890153955,3.9513513513513514,3.0864864864864865,76.90810810810811,46.85405405405405,31.816216216216215,14.778378378378378,12.037837837837838,4.1891891891891895,7.394594594594595,73.47619047619048,582.1481481481482,175.0,20.591375770021425,0.4642857142857143,1.6428571428571428,79.14285714285714,53.392857142857146,33.5,12.392857142857142,11.75,4.75,8.357142857142858,161.71428571428572,259.57142857142856,Sargis Sargsian,Marc Lopez,1,2004-06-21,Wimbledon
